daily_infected,daily_reinfected,long_covid_cases,productivity,days
1000,0,0,99.9767,0
1149,0,0,99.9572,1
1247,0,0,99.9397,2
1334,0,0,99.9263,3
1397,0,0,99.9219,4
1448,0,0,99.9187,5
1495,0,0,99.9173,6
1515,0,0,99.9174,7
1522,0,0,99.91980000000001,8
1531,0,0,99.922,9
535,0,0,99.926,10
389,0,0,99.9264,11
291,0,0,99.9302,12
204,0,0,99.93570000000001,13
143,0,0,99.9417,14
92,0,0,99.9461,15
45,0,0,99.9517,16
25,0,0,99.95570000000001,17
18,0,0,99.961,18
9,0,0,99.9646,19
5,0,0,99.9688,20
2,0,0,99.9735,21
2,0,0,99.9773,22
2,0,0,99.9803,23
0,0,0,99.9836,24
0,0,0,99.98599999999999,25
0,0,0,99.988,26
0,0,0,99.9906,27
0,0,0,99.99329999999999,28
0,0,0,99.9953,29
0,0,57,99.99395234966609,30
0,0,65,99.99412092194824,31
0,0,72,99.9953002204554,32
0,0,80,99.99521801929592,33
0,0,84,99.9956319051341,34
0,0,92,99.99519233145988,35
0,0,93,99.99539950676576,36
0,0,94,99.99537554709909,37
0,0,95,99.9955499507952,38
0,0,95,99.9955499507952,39
0,0,94,99.99558009904234,40
0,0,94,99.99558009904234,41
0,0,93,99.99561848212345,42
0,0,93,99.99561848212345,43
0,0,93,99.99561848212345,44
0,0,92,99.99566804664195,45
0,0,92,99.99566804664195,46
